iter	Passed	Remaining
252	42467	125389
253	42630	125206
254	42794	125027
255	42945	124811
256	43125	124677
257	43318	124582
258	43535	124556
259	43687	124341
260	43867	124206
261	44000	123941
262	44173	123787
263	44314	123542
264	44451	123289
265	44670	123264
266	44850	123128
267	44990	122885
268	45188	122798
269	45345	122600
270	45487	122362
271	45646	122172
272	45784	121923
273	45949	121750
274	46095	121525
275	46233	121280
276	46404	121120
277	46572	120955
278	46736	120778
279	46922	120658
280	47069	120437
281	47213	120210
282	47358	119984
283	47500	119753
284	47695	119656
285	47859	119480
286	48006	119264
287	48162	119068
288	48341	118929
289	48504	118751
290	48714	118689
291	48897	118558
292	49027	118301
293	49187	118117
294	49335	117903
295	49464	117644
296	49657	117539
297	49822	117367
298	49977	117171
299	50174	117073
300	50341	116907
301	50524	116775
302	50698	116622
303	50841	116400
304	51000	116214
305	51168	116048
306	51345	115903
307	51539	115796
308	51684	115578
309	51854	115417
310	52018	115243
311	52207	115124
312	52407	115029
313	52565	114840
314	52722	114650
315	52881	114464
316	53029	114257
317	53176	114044
318	53310	113806
319	53483	113653
320	53649	113483
321	53810	113303
322	53976	113132
323	54135	112949
324	54296	112768
325	54436	112546
326	54591	112355
327	54773	112218
328	54914	111998
329	55083	111836
330	55269	111708
331	55449	111566
332	55596	111359
333	55787	111241
334	55952	111069
335	56126	110917
336	56279	110721
337	56436	110535
338	56607	110377
339	56765	110192
340	56934	110028
341	57095	109849
342	57239	109639
343	57372	109408
344	57509	109184
345	57666	108999
346	57801	108773
347	57996	108659
348	58166	108499
349	58335	108338
350	58494	108157
351	58654	107978
352	58852	107868
353	58998	107664
354	59189	107541
355	59360	107381
356	59528	107217
357	59683	107030
358	59857	106876
359	60033	106725
360	60234	106620
361	60384	106423
362	60562	106276
363	60727	106106
364	60888	105928
365	61063	105776
366	61228	105607
367	61419	105480
368	61574	105294
369	61751	105143
370	61930	104998
371	62092	104822
372	62286	104701
373	62448	104526
374	62594	104323
375	62775	104179
376	62931	103995
377	63082	103802
378	63269	103667
379	63438	103504
380	63591	103314
381	63732	103106
382	63894	102931
383	64061	102765
384	64207	102565
385	64399	102438
386	64565	102270
387	64743	102120
388	64915	101962
389	65077	101787
390	65255	101638
391	65430	101484
392	65599	101320
393	65766	101153
394	65941	100999
395	66129	100864
396	66289	100686
397	66452	100512
398	66619	100346
399	66813	100219
400	66984	100059
401	67115	99838
402	67282	99671
403	67444	99497
404	67599	99313
405	67754	99129
406	67945	98997
407	68127	98851
408	68336	98745
409	68516	98597
410	68697	98449
411	68860	98277
412	69073	98174
413	69245	98013
414	69413	97847
415	69574	97672
416	69759	97530
417	69959	97408
418	70135	97252
419	70290	97067
420	70479	96930
421	70651	96769
422	70822	96606
423	70981	96428
424	71141	96250
425	71302	96073
426	71429	95852
427	71573	95653
428	71713	95451
429	71908	95320
430	72086	95167
431	72271	95023
432	72425	94839
433	72570	94642
434	72727	94461
435	72876	94271
436	73023	94078
437	73184	93903
438	73324	93701
439	73489	93531
440	73647	93353
441	73806	93177
442	73960	92992
443	74134	92835
444	74345	92722
445	74497	92537
446	74651	92354
447	74812	92179
448	74990	92026
449	75143	91842
450	75303	91667
451	75482	91514
452	75668	91369
453	75803	91164
454	75965	90992
455	76107	90795
456	76275	90629
457	76441	90460
458	76600	90285
459	76769	90120
460	76907	89919
461	77060	89737
462	77195	89532
463	77351	89353
464	77540	89213
465	77717	89058
466	77889	88897
467	78084	88762
468	78236	88578
469	78375	88381
470	78556	88230
471	78718	88057
472	78889	87895
473	79059	87733
474	79225	87565
475	79391	87397
476	79550	87222
477	79713	87051
478	79861	86864
479	80047	86718
480	80211	86548
481	80350	86351
482	80505	86172
483	80667	86000
484	80855	85856
485	80988	85654
486	81163	85497
487	81319	85319
488	81468	85134
489	81651	84984
490	81819	84819
491	81985	84651
492	82162	84496
493	82347	84347
494	82526	84193
495	82677	84010
496	82848	83848
497	83022	83689
498	83217	83551
499	83374	83374
500	83532	83198
501	83727	83060
502	83882	82881
503	84048	82714
504	84195	82528
505	84347	82347
506	84522	82188
507	84676	82009
508	84835	81835
509	85002	81668
510	85149	81483
511	85308	81309
512	85450	81119
513	85592	80929
514	85730	80736
515	85893	80567
516	86077	80417
517	86252	80257
518	86426	80098
519	86589	79928
520	86732	79740
521	86897	79572
522	87077	79418
523	87259	79266
524	87401	79077
525	87575	78917
526	87775	78781
527	87946	78618
528	88113	78452
529	88287	78292
530	88492	78159
531	88666	77999
532	88817	77819
533	88950	77623
534	89120	77459
535	89278	77285
536	89413	77092
537	89558	76907
538	89719	76736
539	89912	76591
540	90079	76426
541	90240	76254
542	90416	76096
543	90596	75940
544	90775	75785
545	90928	75606
546	91065	75415
547	91198	75222
548	91355	75047
549	91519	74879
550	91642	74677
551	91826	74526
552	91988	74355
553	92150	74185
554	92316	74019
555	92475	73847
556	92647	73685
557	92843	73542
558	92990	73360
559	93118	73164
560	93284	72998
561	93423	72810
562	93603	72654
563	93778	72495
564	93910	72302
565	94086	72144
566	94259	71982
567	94447	71833
568	94616	71669
569	94807	71521
570	94992	71369
571	95133	71183
572	95305	71021
573	95454	70842
574	95604	70664
575	95777	70503
576	95940	70334
577	96079	70147
578	96253	69987
579	96447	69840
580	96623	69681
581	96827	69542
582	96996	69378
583	97149	69202
584	97323	69041
585	97492	68876
586	97655	68708
587	97809	68533
588	97980	68370
589	98115	68181
590	98283	68016
591	98462	67859
592	98645	67704
593	98808	67535
594	98968	67365
595	99131	67196
596	99321	67045
597	99482	66876
598	99637	66702
599	99782	66521
600	99946	66353
601	100102	66180
602	100244	65998
603	100416	65836
604	100578	65666
605	100714	65481
606	100862	65303
607	101048	65149
608	101177	64959
609	101346	64795
610	101483	64610
611	101658	64450
612	101830	64288
613	102001	64124
614	102174	63963
615	102335	63793
616	102515	63636
617	102685	63472
618	102834	63295
619	103017	63139
620	103168	62964
621	103302	62778
622	103460	62607
623	103627	62442
624	103804	62282
625	103942	62099
626	104110	61934
627	104284	61773
628	104419	61589
629	104575	61417
630	104746	61254
631	104947	61108
632	105112	60941
633	105275	60774
634	105435	60604
635	105622	60450
636	105780	60279
637	105942	60111
638	106111	59946
639	106269	59776
640	106423	59603
641	106609	59448
642	106777	59283
643	106962	59128
644	107108	58951
645	107278	58787
646	107448	58623
647	107606	58453
648	107786	58294
649	107959	58132
650	108127	57966
651	108306	57807
652	108486	57648
653	108654	57484
654	108824	57320
655	108999	57158
